iter	Logloss
0	0.6174069513
1	0.544908738
2	0.4962328041
3	0.4602802928
4	0.4279706191
5	0.3903229905
6	0.3608422374
7	0.3450159254
8	0.324713568
9	0.3061732764
10	0.2967730204
11	0.2799429206
12	0.2680947845
13	0.2567514067
14	0.2455377642
15	0.2352204643
16	0.2289953684
17	0.2232717074
18	0.2175448155
19	0.211090385
20	0.2073864776
21	0.203064638
22	0.1964724457
23	0.1932246156
24	0.1901860054
25	0.1874180943
26	0.1847229475
27	0.1830117724
28	0.1795140729
29	0.1766480136
30	0.1739131372
31	0.1701823015
32	0.1690265074
33	0.1670158155
34	0.164787979
35	0.1629796539
36	0.1618332936
37	0.1603631279
38	0.1593735727
39	0.1585272038
40	0.1578255414
41	0.1571247303
42	0.1554084731
43	0.1545332576
44	0.1532949448
45	0.1525113278
46	0.1519276825
47	0.1511407871
48	0.1506629012
49	0.1502776316
50	0.1490915146
51	0.1484249982
52	0.147885844
53	0.147561309
54	0.1465063523
55	0.1461363029
56	0.1458586348
57	0.1450958746
58	0.144636938
59	0.1443386875
60	0.1437657899
61	0.1434003837
62	0.1431101945
63	0.1428619383
64	0.1425466134
65	0.1422455065
66	0.1420619689
67	0.1417955408
68	0.1414647203
69	0.1412572044
70	0.1406254065
71	0.1403672354
72	0.1397680694
73	0.1394787009
74	0.1391515311
75	0.1389454865
76	0.1386317786
77	0.1384533119
78	0.1382418891
79	0.1379827755
80	0.1373840165
81	0.1372222876
82	0.1369094753
83	0.1365131752
84	0.1362305653
85	0.1359756334
86	0.1358714615
87	0.1357404048
88	0.1354647209
89	0.1351349121
90	0.1346547636
91	0.1343798449
92	0.1342464624
93	0.1341110732
94	0.1337959907
95	0.1336848122
96	0.1335178268
97	0.1333954959
98	0.1331328899
99	0.1327732251
100	0.1324666179
101	0.1320239139
102	0.1318903926
103	0.131821083
104	0.1317062414
105	0.1315927164
106	0.131190232
107	0.1310781571
108	0.1309938979
109	0.1308923924
110	0.1305075597
111	0.1302916721
112	0.1301413784
113	0.1300146791
114	0.1297741684
115	0.129574875
116	0.129467713
117	0.1289794194
118	0.1288637434
119	0.1286870421
120	0.1285668381
121	0.1283933827
122	0.1282469402
123	0.1281546668
124	0.1279924681
125	0.1277636431
126	0.1276297842
127	0.1274495595
128	0.1273088612
129	0.1271812529
130	0.1270315707
131	0.1269028365
132	0.1268130438
133	0.1266895729
134	0.1265559534
135	0.1264231962
136	0.1263548166
137	0.1262646928
138	0.1261939634
139	0.1261137129
140	0.1259298541
141	0.1258215592
142	0.1256181058
143	0.1254604068
144	0.1253626538
145	0.1252538606
146	0.1251654817
147	0.1251132596
148	0.1250435842
149	0.1249558695
150	0.1248267018
151	0.1247122291
152	0.1243362533
153	0.124182762
154	0.1241166266
155	0.1240370433
156	0.1239633018
157	0.1237965088
158	0.1236732932
159	0.1235813635
160	0.1235313581
161	0.1234309866
162	0.1231594923
163	0.1227625628
164	0.1221806336
165	0.122093974
166	0.1220214855
167	0.1219065035
168	0.1218275311
169	0.1215474398
170	0.1214339595
171	0.1213412927
172	0.1212336928
173	0.1211652422
174	0.1210293151
175	0.1208830933
176	0.1208124328
177	0.1207339031
178	0.1206121849
179	0.1204985555
180	0.1204187504
181	0.1201557811
182	0.1200545965
183	0.1199392462
184	0.1196125156
185	0.1194440433
186	0.119263078
