iter	Passed	Remaining
411	3833	5471
412	3842	5461
413	3851	5451
414	3860	5441
415	3868	5431
416	3878	5422
417	3886	5411
418	3896	5402
419	3905	5392
420	3913	5382
421	3922	5372
422	3931	5362
423	3940	5352
424	3949	5342
425	3958	5333
426	3967	5324
427	3976	5314
428	3985	5304
429	3994	5295
430	4003	5286
431	4012	5276
432	4021	5266
433	4030	5256
434	4039	5246
435	4049	5238
436	4058	5229
437	4068	5219
438	4077	5211
439	4086	5201
440	4095	5191
441	4104	5181
442	4113	5172
443	4122	5163
444	4132	5153
445	4145	5149
446	4156	5142
447	4167	5135
448	4180	5130
449	4189	5120
450	4199	5111
451	4208	5102
452	4218	5093
453	4227	5084
454	4237	5076
455	4247	5067
456	4256	5057
457	4266	5048
458	4276	5039
459	4285	5030
460	4295	5022
461	4304	5012
462	4312	5002
463	4322	4993
464	4331	4983
465	4339	4973
466	4348	4963
467	4357	4953
468	4366	4943
469	4375	4933
470	4384	4924
471	4393	4914
472	4402	4904
473	4411	4895
474	4421	4886
475	4430	4877
476	4439	4867
477	4449	4859
478	4459	4849
479	4468	4840
480	4476	4830
481	4485	4820
482	4493	4810
483	4502	4800
484	4511	4790
485	4520	4780
486	4529	4771
487	4538	4761
488	4547	4751
489	4556	4742
490	4565	4732
491	4575	4724
492	4585	4715
493	4594	4706
494	4604	4697
495	4613	4687
496	4622	4677
497	4631	4668
498	4640	4659
499	4649	4649
500	4658	4639
501	4667	4630
502	4676	4620
503	4685	4610
504	4694	4601
505	4704	4593
506	4725	4595
507	4738	4589
508	4750	4582
509	4761	4574
510	4771	4565
511	4781	4557
512	4791	4548
513	4801	4539
514	4812	4531
515	4821	4522
516	4831	4513
517	4840	4504
518	4850	4495
519	4859	4485
520	4868	4476
521	4877	4466
522	4887	4457
523	4897	4449
524	4908	4441
525	4917	4431
526	4926	4421
527	4935	4411
528	4944	4402
529	4954	4393
530	4963	4383
531	4971	4373
532	4980	4363
533	4989	4354
534	4998	4344
535	5008	4335
536	5017	4325
537	5026	4316
538	5035	4306
539	5044	4296
540	5053	4287
541	5062	4277
542	5071	4268
543	5080	4258
544	5088	4248
545	5097	4238
546	5107	4229
547	5118	4221
548	5128	4213
549	5139	4204
550	5148	4195
551	5157	4185
552	5166	4175
553	5175	4166
554	5184	4157
555	5194	4147
556	5203	4138
557	5215	4131
558	5230	4126
559	5244	4120
560	5257	4113
561	5271	4108
562	5284	4101
563	5297	4094
564	5308	4086
565	5318	4077
566	5328	4069
567	5338	4060
568	5348	4050
569	5357	4041
570	5366	4032
571	5376	4022
572	5385	4013
573	5394	4003
574	5403	3994
575	5413	3984
576	5422	3975
577	5432	3966
578	5441	3956
579	5451	3947
580	5460	3937
581	5470	3928
582	5479	3919
583	5488	3909
584	5497	3900
585	5507	3890
586	5516	3881
587	5526	3872
588	5535	3862
589	5544	3852
590	5554	3843
591	5562	3833
592	5573	3825
593	5583	3816
594	5592	3806
595	5601	3797
596	5610	3787
597	5619	3777
598	5628	3768
599	5637	3758
600	5646	3748
601	5655	3739
602	5664	3729
603	5673	3719
604	5682	3710
605	5691	3700
606	5699	3690
607	5708	3680
608	5717	3671
609	5727	3661
610	5736	3652
611	5745	3642
612	5754	3633
613	5764	3623
614	5773	3614
615	5782	3604
616	5793	3596
617	5802	3586
618	5812	3577
619	5821	3567
620	5830	3558
621	5839	3548
622	5848	3539
623	5857	3529
624	5866	3519
625	5875	3510
626	5884	3500
627	5894	3491
628	5903	3481
629	5912	3472
630	5922	3463
631	5931	3453
632	5939	3443
633	5948	3434
634	5957	3424
635	5965	3414
636	5974	3404
637	5983	3395
638	5992	3385
639	6001	3375
640	6011	3366
641	6020	3357
642	6030	3348
643	6039	3338
644	6048	3329
645	6058	3319
646	6068	3310
647	6079	3302
648	6088	3292
649	6098	3283
650	6108	3274
651	6116	3264
652	6126	3255
653	6135	3246
654	6144	3236
655	6152	3226
656	6162	3217
657	6170	3207
658	6179	3197
659	6188	3188
660	6197	3178
661	6206	3169
662	6216	3159
663	6225	3150
664	6234	3140
665	6243	3131
666	6252	3121
667	6261	3111
668	6269	3102
669	6278	3092
670	6287	3082
671	6295	3072
672	6304	3063
673	6313	3053
674	6321	3043
675	6330	3034
676	6339	3024
677	6348	3014
678	6356	3005
679	6365	2995
680	6374	2985
681	6383	2976
682	6393	2967
683	6401	2957
684	6410	2948
685	6420	2938
686	6429	2929
687	6438	2919
688	6448	2910
689	6457	2901
690	6466	2891
691	6475	2882
692	6485	2872
693	6494	2863
694	6503	2854
695	6512	2844
696	6522	2835
697	6530	2825
698	6539	2815
699	6547	2806
700	6557	2797
701	6567	2787
702	6576	2778
703	6586	2769
704	6595	2759
705	6604	2750
706	6613	2740
707	6622	2731
708	6631	2721
709	6640	2712
710	6649	2702
711	6657	2693
712	6666	2683
713	6675	2674
714	6684	2664
715	6694	2655
716	6703	2645
717	6712	2636
718	6721	2627
719	6730	2617
720	6739	2608
721	6748	2598
722	6756	2588
723	6765	2579
724	6774	2569
